,year,country_id,country_txt_wb,country_txt_gtd,country_code,region,region_txt,arrivals,population,tourism_rank_2012,tourism_group,incident_id,nkill,nkillus,nkillte,nwound,nwoundus,nwoundte,nvictim,nvictimus,nvictimte,event_ct_total
113,2013,92,India,India,IND,6.0,South Asia,6968000,1280846129,41,,201301060027.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1
114,2013,205,Thailand,Thailand,THA,5.0,Southeast Asia,26547000,68144501,15,,201301090010.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,2
115,2013,186,Sri Lanka,Sri Lanka,LKA,6.0,South Asia,1275000,20585000,95,,201301100034.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
116,2013,78,Greece,Greece,GRC,8.0,Western Europe,17920000,10965211,18,,201301110006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
117,2013,78,Greece,Greece,GRC,8.0,Western Europe,17920000,10965211,18,,201301110011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
118,2013,195,Sudan,Sudan,SDN,11.0,Sub-Saharan Africa,591000,37072550,111,,201301120002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
119,2013,205,Thailand,Thailand,THA,5.0,Southeast Asia,26547000,68144501,15,,201301170036.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
120,2013,92,India,India,IND,6.0,South Asia,6968000,1280846129,41,,201301180008.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1
121,2013,209,Turkey,Turkey,TUR,10.0,Middle East & North Africa,37795000,75928564,6,high,201301180011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
122,2013,209,Turkey,Turkey,TUR,10.0,Middle East & North Africa,37795000,75928564,6,high,201301190015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
123,2013,45,Colombia,Colombia,COL,3.0,South America,2288000,46497267,74,,201301210005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
124,2013,45,Colombia,Colombia,COL,3.0,South America,2288000,46497267,74,,201301200009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
125,2013,199,Switzerland,Switzerland,CHE,8.0,Western Europe,8967000,8089346,29,,201301240013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
126,2013,199,Switzerland,Switzerland,CHE,8.0,Western Europe,8967000,8089346,29,,201301240014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
127,2013,92,India,India,IND,6.0,South Asia,6968000,1280846129,41,,201301250013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
128,2013,167,Russian Federation,Russia,RUS,9.0,Eastern Europe,30792000,143506995,9,high,201301250026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
129,2013,603,United Kingdom,United Kingdom,GBR,8.0,Western Europe,31063000,64128273,8,high,201301260012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
130,2013,92,India,India,IND,6.0,South Asia,6968000,1280846129,41,,201301260041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
131,2013,92,India,India,IND,6.0,South Asia,6968000,1280846129,41,,201301260042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
132,2013,92,India,India,IND,6.0,South Asia,6968000,1280846129,41,,201301260026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
133,2013,92,India,India,IND,6.0,South Asia,6968000,1280846129,41,,201301260039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
134,2013,92,India,India,IND,6.0,South Asia,6968000,1280846129,41,,201301260025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
135,2013,92,India,India,IND,6.0,South Asia,6968000,1280846129,41,,201301260043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
136,2013,92,India,India,IND,6.0,South Asia,6968000,1280846129,41,,201301260038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
137,2013,205,Thailand,Thailand,THA,5.0,Southeast Asia,26547000,68144501,15,,201301300005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
138,2013,205,Thailand,Thailand,THA,5.0,Southeast Asia,26547000,68144501,15,,201301300004.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
139,2013,205,Thailand,Thailand,THA,5.0,Southeast Asia,26547000,68144501,15,,201301300003.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1
140,2013,45,Colombia,Colombia,COL,3.0,South America,2288000,46497267,74,,201302060002.0,2.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,2
141,2013,6,Algeria,Algeria,DZA,10.0,Middle East & North Africa,2733000,38140132,65,,201302060024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
142,2013,93,Indonesia,Indonesia,IDN,5.0,Southeast Asia,8802000,251806402,33,,201302100011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
143,2013,92,India,India,IND,6.0,South Asia,6968000,1280846129,41,,201302100024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
144,2013,45,Colombia,Colombia,COL,3.0,South America,2288000,46497267,74,,201302120006.0,2.0,0.0,0.0,27.0,0.0,0.0,29.0,0.0,0.0,2
145,2013,93,Indonesia,Indonesia,IDN,5.0,Southeast Asia,8802000,251806402,33,,201302140016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
146,2013,205,Thailand,Thailand,THA,5.0,Southeast Asia,26547000,68144501,15,,201302160021.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4
147,2013,173,Saudi Arabia,Saudi Arabia,SAU,10.0,Middle East & North Africa,15772000,30052518,17,,201302160046.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3
148,2013,205,Thailand,Thailand,THA,5.0,Southeast Asia,26547000,68144501,15,,201302170020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
149,2013,205,Thailand,Thailand,THA,5.0,Southeast Asia,26547000,68144501,15,,201302170019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
150,2013,205,Thailand,Thailand,THA,5.0,Southeast Asia,26547000,68144501,15,,201302170002.0,2.0,0.0,0.0,9.0,0.0,0.0,11.0,0.0,0.0,1
