year_gtd,country_gtd,incident_ct_total,nkill_total,nkillus_total,nkillter_total,nwound_total,nwoundus_total,nwoundte_total
2017,75,10,0.0,0.0,0.0,1.0,0.0,1.0
2017,78,4,0.0,0.0,0.0,0.0,0.0,0.0
2017,92,92,10.0,0.0,1.0,40.0,0.0,0.0
2017,93,3,5.0,0.0,2.0,10.0,0.0,0.0
2017,94,1,17.0,0.0,6.0,52.0,0.0,0.0
2017,95,114,830.0,0.0,199.0,564.0,0.0,5.0
2017,97,3,1.0,0.0,0.0,1.0,0.0,0.0
2017,99,2,0.0,0.0,0.0,0.0,0.0,0.0
2017,102,4,0.0,0.0,0.0,0.0,0.0,0.0
2017,104,18,44.0,0.0,3.0,25.0,0.0,0.0
2017,113,5,11.0,0.0,0.0,0.0,0.0,0.0
2017,123,10,34.0,0.0,9.0,15.0,0.0,0.0
2017,137,4,22.0,0.0,14.0,10.0,0.0,0.0
2017,138,50,121.0,0.0,94.0,1.0,0.0,0.0
2017,141,6,0.0,0.0,0.0,0.0,0.0,0.0
2017,147,90,458.0,0.0,77.0,391.0,0.0,0.0
2017,153,29,102.0,0.0,1.0,359.0,0.0,0.0
2017,155,1,4.0,0.0,3.0,4.0,0.0,0.0
2017,157,2,0.0,0.0,0.0,0.0,0.0,0.0
2017,160,42,53.0,0.0,6.0,63.0,0.0,4.0
2017,167,1,16.0,0.0,1.0,63.0,0.0,0.0
2017,173,1,0.0,0.0,0.0,0.0,0.0,0.0
2017,182,19,691.0,3.0,22.0,465.0,0.0,0.0
2017,183,2,3.0,0.0,0.0,3.0,0.0,0.0
2017,185,2,21.0,1.0,5.0,110.0,1.0,0.0
2017,186,2,0.0,0.0,0.0,0.0,0.0,0.0
2017,195,7,4.0,0.0,0.0,10.0,0.0,0.0
2017,200,25,322.0,0.0,40.0,250.0,0.0,0.0
2017,205,64,9.0,0.0,0.0,133.0,0.0,1.0
2017,209,8,7.0,0.0,2.0,3.0,0.0,1.0
2017,214,3,1.0,0.0,0.0,7.0,0.0,0.0
2017,217,1,2.0,2.0,0.0,0.0,0.0,0.0
2017,222,1,0.0,0.0,0.0,0.0,0.0,0.0
2017,228,5,44.0,0.0,0.0,97.0,0.0,0.0
2017,229,25,62.0,0.0,9.0,33.0,0.0,3.0
2017,603,2,0.0,0.0,0.0,0.0,0.0,0.0
2017,1003,1,0.0,0.0,0.0,0.0,0.0,0.0
2017,1004,4,172.0,0.0,59.0,62.0,0.0,0.0
2018,4,194,1052.0,0.0,390.0,1087.0,0.0,302.0
2018,11,1,0.0,0.0,0.0,3.0,0.0,0.0
2018,33,9,19.0,0.0,9.0,86.0,0.0,0.0
2018,37,19,38.0,0.0,10.0,1.0,0.0,0.0
2018,41,2,7.0,0.0,0.0,13.0,0.0,0.0
2018,42,2,23.0,0.0,17.0,0.0,0.0,0.0
2018,43,10,0.0,0.0,0.0,0.0,0.0,0.0
2018,45,25,7.0,0.0,0.0,0.0,0.0,0.0
2018,65,2,0.0,0.0,0.0,0.0,0.0,0.0
2018,69,2,5.0,0.0,1.0,15.0,0.0,0.0
2018,87,1,0.0,0.0,0.0,0.0,0.0,0.0
2018,92,32,27.0,0.0,5.0,37.0,0.0,5.0
2018,93,2,20.0,0.0,4.0,40.0,0.0,0.0
